4.0 , 136 , Parker & Quinn ,  Belgian
4.5 , 909 , Gotham Bar And Grill ,  Belgian
4.0 , 724 , Salt & Fat ,  Belgian
4.5 , 195 , Battersby ,  Belgian
4.0 , 122 , B4 ,  Belgian
4.0 , 1107 , Freemans ,  Belgian
4.0 , 170 , Porteno Restaurant ,  Belgian
4.0 , 351 , El Almacen ,  Belgian
4.0 , 59 , La Fusta Restaurant ,  Belgian
4.0 , 253 , Buenos Aires ,  Belgian
4.0 , 133 , Choripan Rodizio ,  Belgian
3.5 , 98 , Cafe Argentino ,  Belgian
3.5 , 240 , Libertador ,  Belgian
4.0 , 65 , Libertador ,  Belgian
4.5 , 22 , Balvanera ,  Belgian
3.5 , 158 , Novecento ,  Belgian
4.0 , 68 , El Gauchito ,  Belgian
4.5 , 41 , Stella's Empanadas ,  Belgian
3.5 , 74 , Pampas Argentinas ,  Belgian
4.0 , 83 , La Cabana Argentinan Steakhouse ,  Belgian
4.5 , 62 , La Esquina Criolla ,  Belgian
4.0 , 161 , Chimichurri Grill ,  Belgian
4.0 , 128 , La Fusta Restaurant ,  Belgian
4.0 , 63 , Puerto Madero Steakhouse ,  Belgian
5.0 , 22 , Argentina Bakery Inc ,  Belgian
3.5 , 67 , Estancia 460 ,  Belgian
4.5 , 624 , Absolute Bagels ,  Belgian
4.0 , 1227 , Ess-A-Bagel ,  Belgian
4.5 , 336 , Best Bagel and Coffee ,  Belgian
4.0 , 212 , Wonder Bagels ,  Belgian
4.0 , 559 , Ess-a-Bagel ,  Belgian
4.0 , 516 , Brooklyn Bagel & Coffee Company ,  Belgian
4.0 , 287 , H & H Midtown Bagels East ,  Belgian
4.5 , 324 , Brooklyn Bagel & Coffee Company ,  Belgian
4.0 , 231 , Bagels on the Square ,  Belgian
4.0 , 254 , The Bagel Store ,  Belgian
4.0 , 258 , Bagelsmith ,  Belgian
3.5 , 456 , Murray's Bagels ,  Belgian
4.0 , 320 , Tompkins Square Bagels ,  Belgian
3.5 , 271 , Leo's Bagels ,  Belgian
4.0 , 169 , Bergen Bagels ,  Belgian
4.0 , 117 , New York City Bagel Coffee House ,  Belgian
4.0 , 142 , Bagel Works ,  Belgian
4.5 , 57 , Graso Grill ,  Belgian
4.0 , 118 , Bagel & Schmear ,  Belgian
3.5 , 103 , Hoboken Hot Bagels ,  Belgian
4.0 , 846 , Mighty Quinn's Barbeque ,  Belgian
4.5 , 139 , Brooklyn Ice House ,  Belgian
4.0 , 1690 , Fette Sau ,  Belgian
4.0 , 211 , Hometown Bar-B-Que ,  Belgian
4.0 , 544 , Butcher Bar ,  Belgian
4.0 , 551 , Dinosaur Bar-B-Que ,  Belgian
4.5 , 41 , incrediBALLS ,  Belgian
4.0 , 267 , BrisketTown ,  Belgian
4.0 , 1833 , Dinosaur Bar-B-Que ,  Belgian
4.5 , 42 , Humo Smokehouse ,  Belgian
4.0 , 365 , Mable's Smokehouse and Banquet Hall ,  Belgian
4.0 , 204 , Morgan's Barbecue ,  Belgian
4.0 , 822 , SoCo ,  Belgian
3.5 , 1442 , Hill Country Barbecue Market ,  Belgian
4.0 , 43 , Mighty Quinn's Barbeque ,  Belgian
3.5 , 257 , John Brown Smokehouse ,  Belgian
4.5 , 56 , Brazeiro Churrascaria ,  Belgian
4.5 , 42 , Mighty Quinn's ,  Belgian
4.0 , 38 , Mighty Quinn's Barbeque ,  Belgian
3.5 , 395 , The Strand Smokehouse ,  Belgian
